Region,Mean,Max,Min
R-Pir,0.14684368696406216,0.29783481359481817,-1.9606419222348248e-17
R-AVI,0.09665924549893089,0.22810712456703192,-1.3102006385232293e-17
R-AAIC,0.1259495345604225,0.24194887280464178,-1.2340342113345982e-17
R-FOP1,0.13903758990538195,0.3024100959300995,-8.955941267103325e-18
R-FOP3,0.17923513992872708,0.3054129779338837,-2.6683183196147903e-18
R-FOP2,0.18664597314461595,0.32363387942314154,-1.0579710415350177e-17
R-PFt,0.15084364325756827,0.4507605135440827,-2.5046578515300705e-17
R-AIP,0.21464298498940246,0.614355504512787,-2.920012344588455e-17
R-EC,0.19582805321987615,0.40670463442802446,-3.8213152909037385e-17
R-PreS,0.22572498999025364,0.5740962624549867,-2.6716165576741446e-17
R-H,0.23377995576412922,0.5038424730300904,-2.1169161208139604e-18
R-ProS,0.29004930761823183,0.6751004457473756,-1.958305222507784e-17
R-PeEc,0.1479781522382013,0.33543989062309276,-1.5052781336858375e-17
R-STGa,0.1351092750713432,0.2538885772228242,-8.011571776507778e-18
R-PBelt,0.1920544716144229,0.47618925571441656,-3.0383977137228254e-17
R-A5,0.19474765976758465,0.42228448390960704,-1.4021974488825686e-17
R-PHA1,0.26419916067492505,0.4899234771728516,-9.265589765216104e-19
R-PHA3,0.2929468325467606,0.4535318315029145,-3.0226107802062885e-18
R-STSda,0.1502674155318217,0.3167612850666047,-2.2990631817463033e-17
R-STSdp,0.17955745723081037,0.4124740958213809,-3.021410601267656e-17
R-STSvp,0.23453403487709562,0.4496259987354279,-2.4561043099440332e-17
R-TGd,0.10684622614466915,0.24211116135120395,-8.691015150941393e-18
R-TE1a,0.1397124227653733,0.2594474852085114,-6.217540379685391e-18
R-TE1p,0.20401136933512798,0.5196346044540407,-2.2986215147154547e-17
R-TE2a,0.1393555263857914,0.45947280526161205,-3.502663904901777e-17
R-TF,0.16408975052565106,0.4217773675918581,-2.0234822723528223e-17
R-TE2p,0.20652631848707362,0.46079105138778703,-1.7333903415107976e-17
R-PHT,0.22340960750859495,0.647376298904419,-1.4068822533324254e-17
R-PH,0.2817695417203058,0.6452407836914064,-3.67723587937001e-17
R-TPOJ1,0.24586105798715002,0.5665985345840455,-1.9857804613653413e-17
R-TPOJ2,0.2785097938631366,0.6510270833969118,-1.1646049355419782e-17
R-TPOJ3,0.3984393644245854,0.7514870166778568,-1.0717001145450414e-17
R-DVT,0.4473351467244264,1.2390185594558718,-3.189266042132918e-17
R-PGp,0.3857900464512501,0.9839767217636111,-6.165062713486388e-17
R-IP2,0.20347307736678494,0.5974206924438478,-1.1434407370348564e-17
R-IP1,0.231732850867279,0.7649530768394469,-5.998341467981291e-17
R-IP0,0.32688603973871366,1.0473279953002932,-5.767986976112819e-17
R-PFop,0.19946926021568465,0.3961464762687684,-2.3458040459029392e-17
R-PF,0.2328592694874913,0.4957291185855867,-1.4934545321635063e-17
R-PFm,0.24378491667794694,0.6403470039367677,-2.870833184215343e-17
R-PGi,0.25503055999327406,0.6484439969062807,-3.3822431975050723e-17
R-PGs,0.34206242258122316,0.7753412127494815,-3.938836190506843e-17
R-V6A,0.2775494427276187,0.8888228535652163,-1.8228397339098945e-17
R-VMV1,0.3958285211170417,0.6183166503906252,-3.214275759042265e-17
R-VMV3,0.40550263147297266,0.5880414843559266,-6.246033369498717e-18
R-PHA2,0.22367990064892523,0.4536367654800416,-4.57894359511036e-18
R-V4t,0.2906185284038273,0.7064954042434696,-4.170913714782519e-17
R-FST,0.1861255340830413,0.7226601243019106,-3.365803087026004e-17
R-V3CD,0.41266403327285417,0.8810781836509708,-1.1379384295039742e-17
R-LO3,0.2427906271873063,0.7674998641014101,-2.1699214028669216e-17
R-VMV2,0.19757641418428365,0.5587022304534914,-2.152954357344623e-17
R-31pd,0.46849735668432996,0.8293076753616334,-1.150806092456151e-17
R-31a,0.3737310001048812,0.6790552735328677,-3.0180486628590424e-17
R-VVC,0.3482431745729602,0.6304732561111452,-1.2682084592939463e-17
R-25,0.16516908836404912,0.4183104038238526,-1.9020191010512206e-17
R-s32,0.1108014348877082,0.19941692054271704,-6.6709127316642094e-18
R-pOFC,0.1990877418532117,0.4424776732921602,-9.613324786410548e-18
R-PoI1,0.15904621519463777,0.31152462959289556,-2.132342072053761e-17
R-Ig,0.2002248818541562,0.36539962887763994,-3.105447425273105e-17
R-FOP5,0.1123381909780696,0.2624206542968751,-4.569052136235222e-18
R-p10p,0.07011672025169378,0.20012861490249637,-1.222087884683986e-17
R-p47r,0.08782129607314164,0.1979017704725266,-6.2945458495203386e-18
R-TGv,0.08428723819791374,0.24569723010063177,-9.193055594835079e-18
R-MBelt,0.1886564731856265,0.3564539551734925,-1.058845776352909e-17
R-LBelt,0.22106492115668608,0.4686424732208253,-8.381366480424377e-18
R-A4,0.2057045693903987,0.49113026261329656,-1.9817315061744482e-17
R-STSva,0.15362826325650727,0.3138887882232667,-1.2342584282540936e-17
R-TE1m,0.17320153913693748,0.4549688994884492,-3.023570145587875e-17
R-PI,0.17439496981256145,0.3057923913002015,2.7786428241504806e-18
R-a32pr,0.10259088468017076,0.2286716401576996,-6.716196643518638e-18
R-p24,0.1134980007386466,0.25113350152969366,-6.453777823965504e-18
